1234 O___;5566 ____;1778 XO__;7388 OOO_;3873 XX__;8872 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 OOO_;3873 XXXX;;;
1234 O___;5566 ____;1778 XO__;7388 OOOO;8873 XXXX;;;
1234 O___;5566 ____;1778 XO__;7388 X___;7477 XO__;7722 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 X___;7477 XXO_;7727 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 X___;7477 XXOO;7747 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 X___;7477 XXXX;;;
1234 O___;5566 ____;1778 XO__;7388 XO__;8118 ____;3377 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 XO__;8118 O___;2782 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 XO__;8118 XXX_;8818 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 XO__;8118 XXXX;;;
1234 O___;5566 ____;1778 XO__;7388 XOO_;3783 XOOO;8373 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 XOO_;3783 XX__;8782 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 XOO_;3783 XXXX;;;
1234 O___;5566 ____;1778 XO__;7388 XOOO;8783 XXXX;;;
1234 O___;5566 ____;1778 XO__;7388 XX__;7373 ____;8188 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 XX__;7373 X___;7448 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 XX__;7373 XXX_;7377 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 XX__;7373 XXXX;;;
1234 O___;5566 ____;1778 XO__;7388 XXO_;7828 XXX_;7848 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 XXO_;7828 XXXX;;;
1234 O___;5566 ____;1778 XO__;7388 XXX_;7488 XXXX;;;
1234 O___;5566 ____;1778 XO__;7388 XXXX;;;;
1234 O___;5566 ____;1778 XOO_;8377 OO__;7188 XO__;7711 XXXX;;
1234 O___;5566 ____;1778 XOO_;8377 OO__;7188 XXOO;7818 XXXX;;
1234 O___;5566 ____;1778 XOO_;8377 OO__;7188 XXX_;7118 XXXX;;
1234 O___;5566 ____;1778 XOO_;8377 OO__;7188 XXXX;;;
