7654 XXO_;3857 XX__;2667 XX__;1657 XXX_;5657 XXXX;;;;;
7654 XO__;8254 ____;3637 XOO_;7136 OOOO;1673 XXXX;;;;;
7654 XOO_;4455 XX__;1486 XX__;3826 XX__;3456 XXXX;;;;;
7654 O___;8181 ____;7223 XXOO;2273 XXOO;2723 XXXX;;;;;
7171 ____;4224 XXO_;4232 XOO_;2265 XXX_;2264 XXXX;;;;;
7171 X___;3481 XO__;2361 XXOO;6321 XOOO;2631 XXXX;;;;;
7171 XX__;3511 XOO_;1251 XOO_;6546 ____;2131 XXXX;;;;;
7171 XO__;2377 ____;1484 XXO_;1441 XXOO;1144 XXXX;;;;;
2377 ____;5884 ____;2666 X___;5167 XO__;1116 XXXX;;;;;
2377 X___;7386 OOO_;6841 XOO_;8671 OOOO;1867 XXXX;;;;;
2377 XX__;7874 X___;1276 XX__;1135 XXO_;1375 XXXX;;;;;
2377 XO__;7427 OOO_;4572 OOOO;2745 XXOO;2754 XXXX;;;;;
2377 OOO_;3732 XX__;4531 ____;7827 XXO_;7722 XXXX;;;;;
1177 ____;3883 OO__;6346 X___;5332 XXOO;2335 XXXX;;;;;
1177 X___;3674 ____;5154 OO__;1588 XXOO;1885 XXXX;;;;;
