6645 XO__;2165 XXO_;2661 OO__;4125 XXXX;;;;;;
6543 XO__;5531 XXO_;2535 XXO_;1532 XXXX;;;;;;
2323 O___;3444 OO__;4631 XX__;4535 XXXX;;;;;;
2323 X___;2115 XXX_;2165 XXOO;2615 XXXX;;;;;;
3344 O___;4522 XXX_;4526 XXOO;4562 XXXX;;;;;;
2311 O___;6462 ____;3553 XX__;1555 XXXX;;;;;;
2535 O___;4266 ____;3111 XX__;3313 XXXX;;;;;;
3224 O___;6335 ____;1112 XXOO;2111 XXXX;;;;;;
6346 O___;2554 ____;3111 XOO_;1133 XXXX;;;;;;
6645 O___;2324 ____;5151 XO__;1116 XXXX;;;;;;
2311 XXO_;3312 XO__;1351 OOO_;2115 XXXX;;;;;;
6645 XXO_;6544 XO__;6165 OOO_;1646 XXXX;;;;;;
2535 OOO_;5312 XOO_;5623 XXOO;5263 XXXX;;;;;;
3224 OOO_;6342 XOO_;2632 XXO_;2462 XXXX;;;;;;
6645 OOO_;4563 XOO_;4456 XO__;5366 XXXX;;;;;;
6543 XXO_;3541 XOO_;4533 XX__;1563 XXXX;;;;;;
2311 ____;5654 XXO_;4656 XXO_;6655 XXXX;;;;;;
2535 ____;6441 XXO_;1641 XO__;4446 XXXX;;;;;;
3224 ____;6551 XXO_;6156 OO__;5511 XXXX;;;;;;
6346 ____;5521 XXO_;2511 XXO_;1551 XXXX;;;;;;
6645 ____;2213 XXO_;1212 XXOO;2112 XXXX;;;;;;
2311 XOO_;2136 XOO_;6121 XOO_;1631 XXXX;;;;;;
2535 XOO_;3245 XO__;1355 XXO_;5365 XXXX;;;;;;
6346 XOO_;6534 XO__;6462 OOO_;2636 XXXX;;;;;;
6645 XOO_;1465 XOO_;4661 XXO_;6561 XXXX;;;;;;
2323 OO__;1432 XX__;3435 O___;1252 XXXX;;;;;;
3344 OO__;4213 OOO_;6431 XXOO;1436 XXXX;;;;;;
4554 OO__;6415 XX__;3435 XX__;2425 XXXX;;;;;;
2311 XX__;6314 XOO_;4351 XO__;2346 XXXX;;;;;;
6346 XX__;6241 XXO_;5246 XOOO;6542 XXXX;;;;;;
6645 XX__;2641 XOO_;6612 XOO_;1625 XXXX;;;;;;
3344 XX__;2354 OOO_;3241 XXOO;3142 XXXX;;;;;;
4554 XX__;4614 XXO_;6514 XXOO;4516 XXXX;;;;;;
6543 XOO_;2564 XX__;5534 XXO_;3514 XXXX;;;;;;
6543 O___;2151 O___;4424 ____;1666 XXXX;;;;;;
2535 X___;4431 ____;2626 XOO_;2262 XXXX;;;;;;
3224 X___;4164 ____;5255 XXOO;5525 XXXX;;;;;;
6346 X___;2335 ____;4141 XO__;1116 XXXX;;;;;;
6645 X___;1143 ____;5225 XOO_;2555 XXXX;;;;;;
2323 XO__;3121 XOO_;2211 OO__;1133 XXXX;;;;;;
3224 OO__;2612 XOO_;6142 XOOO;1462 XXXX;;;;;;
6346 OO__;3454 XXX_;3554 XXOO;3455 XXXX;;;;;;
2535 XO__;4522 OOO_;2654 OOO_;1245 XXXX;;;;;;
3224 XO__;1326 XXO_;4126 OOO_;1364 XXXX;;;;;;
6645 XO__;6421 XXO_;6324 XOO_;6413 XXXX;;;;;;
6543 XO__;5241 XXO_;2641 XXX_;2341 XXXX;;;;;;
2323 X___;2166 OOO_;1625 XO__;6613 XXXX;;;;;;
3344 O___;6461 OOO_;4615 XO__;1636 XXXX;;;;;;
3344 X___;1241 OOO_;5124 XX__;6114 XXXX;;;;;;
4554 X___;3324 OOO_;4263 XOO_;4132 XXXX;;;;;;
3224 O___;6366 OO__;5635 XXOO;5653 XXXX;;;;;;
